Sample_ID	tri	vas1	wyo1	wyo2	ssp	ploidy_level
C1_01	0.002	0.898	0.033	0.067	vas1	2
C1_02	0.001	0.997	0.001	0.002	vas1	2
C1_03	0.005	0.982	0.004	0.008	vas1	2
C1_04	0.001	0.998	0.001	0.001	vas1	2
C1_05	0.002	0.919	0.014	0.064	vas1	2
C1_06	0.001	0.995	0.001	0.003	vas1	2
C1_07	0.003	0.992	0.002	0.003	vas1	2
C1_08	0.012	0.983	0.002	0.003	vas1	2
C1_09	0.001	0.995	0.001	0.003	vas1	2
C1_10	0.001	0.995	0.001	0.003	vas1	2
C1_11	0.006	0.975	0.006	0.013	vas1	2
C1_12	0.003	0.952	0.011	0.034	vas1	2
C1_13	0.001	0.997	0.001	0.002	vas1	2
C1_14	0.002	0.992	0.002	0.005	vas1	2
C1_15	0.007	0.976	0.004	0.014	vas1	2
C1_16	0.001	0.991	0.002	0.005	vas1	2
C1_17	0.017	0.939	0.012	0.032	vas1	2
C1_18	0.001	0.996	0.001	0.002	vas1	2
C1_19	0.004	0.984	0.002	0.01	vas1	2
C1_20	0.001	0.995	0.001	0.003	vas1	2
C2_01	0.001	0.997	0.001	0.001	vas1	2
C2_02	0.001	0.995	0.001	0.003	vas1	2
C2_03	0.003	0.993	0.001	0.002	vas1	2
C2_04	0.002	0.974	0.004	0.019	vas1	2
C2_05	0.004	0.967	0.003	0.026	vas1	2
C2_06	0.002	0.99	0.003	0.005	vas1	2
C2_07	0.004	0.986	0.005	0.004	vas1	2
C2_08	0.006	0.982	0.005	0.007	vas1	2
C2_09	0.165	0.829	0.002	0.004	vas1	2
C2_10	0.001	0.997	0.001	0.001	vas1	2
C2_11	0.001	0.996	0.001	0.002	vas1	2
C2_12	0.003	0.993	0.002	0.003	vas1	2
C2_13	0.001	0.998	0.001	0.001	vas1	2
C2_14	0.001	0.993	0.002	0.004	vas1	2
C2_15	0.005	0.947	0.004	0.044	vas1	2
C2_16	0.001	0.997	0.001	0.001	vas1	2
C2_17	0.001	0.997	0.001	0.001	vas1	2
C2_18	0.023	0.933	0.012	0.032	vas1	2
C2_20	0.002	0.995	0.001	0.002	vas1	2
C3_01	0.002	0.007	0.526	0.465	wyo1	4
C3_02	0.006	0.005	0.36	0.629	wyo2	4
C3_03	0.006	0.01	0.489	0.495	wyo2	4
C3_04	0.002	0.018	0.478	0.502	wyo2	4
C3_05	0.002	0.146	0.422	0.43	wyo2	4
C3_06	0.004	0.002	0.423	0.571	wyo2	4
C3_07	0.001	0.01	0.337	0.652	wyo2	4
C3_08	0.036	0.005	0.183	0.776	wyo2	4
C3_09	0.002	0.008	0.465	0.526	wyo2	4
C3_10	0.002	0.003	0.571	0.424	wyo1	4
C3_11	0.002	0.145	0.447	0.406	wyo1	4
C3_12	0.001	0.248	0.455	0.296	wyo1	4
C3_13	0.011	0.011	0.344	0.634	wyo2	4
C3_14	0.002	0.225	0.652	0.121	wyo1	4
C3_15	0.003	0.054	0.682	0.262	wyo1	4
C3_16	0.007	0.011	0.191	0.791	wyo2	4
C3_17	0.005	0.187	0.646	0.163	wyo1	4
C3_18	0.005	0.226	0.76	0.009	wyo1	4
C3_19	0.983	0.007	0.004	0.006	tri	4
C3_20	0.002	0.021	0.43	0.547	wyo2	4
C4_01	0.001	0.033	0.82	0.147	wyo1	4
C4_02	0.152	0.009	0.59	0.248	wyo1	4
